,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,authorLabel,combinedGenres,birthDate,combinedNationalityOrLanguage,topBooks,author_id,genres_list,books_list
11,11,11,11,Abdul Rahman Munif,"Novel, short story, critic, biography",1933-05-29,Saudis,"Cities of Salt, East of the Mediterranean",Abdul Rahman Munif,"['Novel', 'Short Story', 'Critic', 'Biography']","['Cities Of Salt', 'East Of The Mediterranean']"
12,12,12,12,Abdussalam Puthige,Present,1964-04-02,India,Allama Iqbal,Abdussalam Puthige,['Present'],['Allama Iqbal']
13,13,13,16,Abraham Verghese,"Autobiography, Medical handbook",1955-05-30,,"Cutting for Stone, My Own Country, The Tennis Partner",Abraham Verghese,"['Autobiography', 'Medical Handbook']","['Cutting For Stone', 'My Own Country', 'The Tennis Partner']"
14,14,14,17,Ada Palmer,"Dystopian fiction, Historical fiction, Science fiction, Speculative fiction",1981-06-09,,Too Like the Lightning,Ada Palmer,"['Dystopian Fiction', 'Historical Fiction', 'Science Fiction', 'Speculative Fiction']",['Too Like The Lightning']
15,15,15,18,Adalbert Stifter,Poetic realism,1805-10-23,Austrians,"Bergkristall, Der Nachsommer, Witiko (novel)",Adalbert Stifter,['Poetic Realism'],"['Bergkristall', 'Der Nachsommer', 'Witiko Novel']"
16,16,16,19,Adam Mickiewicz,Romanticism,1798-12-24,Polish language,"Dziady (poem), Pan Tadeusz",Adam Mickiewicz,['Romanticism'],"['Dziady Poem', 'Pan Tadeusz']"
17,17,17,20,Adam Roberts (British writer),"Science fiction, fantasy, parody",1965-06-30,British people,"Gradisil, Salt (Roberts novel)",Adam Roberts (British writer),"['Science Fiction', 'Fantasy', 'Parody']","['Gradisil', 'Salt Roberts Novel']"
18,18,18,21,Adam Silvera,"LGBT literature, Young adult fiction",1990-06-07,American English,"History Is All You Left Me, They Both Die at the End, What If It's Us",Adam Silvera,"['Lgbt Literature', 'Young Adult Fiction']","['History Is All You Left Me', 'They Both Die At The End', 'What If Its Us']"
19,19,19,22,Agatha Christie,"Murder mystery, Thriller (genre)",1890-09-15,,"And Then There Were None, Death on the Nile, Murder on the Orient Express, Partners in Crime (short story collection), The A.B.C. Murders, The Mousetrap, The Murder at the Vicarage, The Murder of Roger Ackroyd",Agatha Christie,"['Murder Mystery', 'Thriller Genre']","['And Then There Were None', 'Death On The Nile', 'Murder On The Orient Express', 'Partners In Crime Short Story Collection', 'The Abc Murders', 'The Mousetrap', 'The Murder At The Vicarage', 'The Murder Of Roger Ackroyd']"
20,20,20,23,Aimée Sommerfelt,"Children's books, Young adult fiction",1892-04-02,Norway,The Road to Agra,Aimée Sommerfelt,"['Childrens Books', 'Young Adult Fiction']",['The Road To Agra']
21,21,21,24,Akwaeke Emezi,"Fantasy, Romance novel",1987-06-06,Nigeria,"Dear Senthuran, Freshwater (novel), Pet (novel), The Death of Vivek Oji",Akwaeke Emezi,"['Fantasy', 'Romance Novel']","['Dear Senthuran', 'Freshwater Novel', 'Pet Novel', 'The Death Of Vivek Oji']"
22,22,22,25,Alan Dean Foster,"Fantasy, Science fiction",1946-11-18,,"Humanx Commonwealth, Spellsinger",Alan Dean Foster,"['Fantasy', 'Science Fiction']","['Humanx Commonwealth', 'Spellsinger']"
23,23,23,26,Alan Duff,Fiction,1950-10-26,,"Jake's Long Shadow, Once Were Warriors, What Becomes of the Broken Hearted? (film), What Becomes of the Broken Hearted? (novel)",Alan Duff,['Fiction'],"['Jakes Long Shadow', 'Once Were Warriors', 'What Becomes Of The Broken Hearted Film', 'What Becomes Of The Broken Hearted Novel']"
24,24,24,27,Alan Garner,"Children's literature, Low fantasy",1934-10-17,,"Elidor, The Moon of Gomrath, The Owl Service, The Stone Book Quartet, The Weirdstone of Brisingamen",Alan Garner,"['Childrens Literature', 'Low Fantasy']","['Elidor', 'The Moon Of Gomrath', 'The Owl Service', 'The Stone Book Quartet', 'The Weirdstone Of Brisingamen']"
25,25,25,28,Alan Hollinghurst,"Novel, poem, short story",1954-05-26,,"The Folding Star, The Line of Beauty, The Sparsholt Affair, The Spell (novel), The Stranger's Child, The Swimming Pool Library",Alan Hollinghurst,"['Novel', 'Poem', 'Short Story']","['The Folding Star', 'The Line Of Beauty', 'The Sparsholt Affair', 'The Spell Novel', 'The Strangers Child', 'The Swimming Pool Library']"
26,26,26,29,Alan Moore,Horror fiction,1953-11-18,,"Batman: The Killing Joke, For the Man Who Has Everything, From Hell, Jerusalem (Moore novel), Lost Girls (graphic novel), Marvelman, Promethea, Superman: Whatever Happened to the Man of Tomorrow?, Swamp Thing (comic book), The Ballad of Halo Jones, The League of Extraordinary Gentlemen, V for Vendetta, Voice of the Fire, Watchmen",Alan Moore,['Horror Fiction'],"['Batman The Killing Joke', 'For The Man Who Has Everything', 'From Hell', 'Jerusalem Moore Novel', 'Lost Girls Graphic Novel', 'Marvelman', 'Promethea', 'Superman Whatever Happened To The Man Of Tomorrow', 'Swamp Thing Comic Book', 'The Ballad Of Halo Jones', 'The League Of Extraordinary Gentlemen', 'V For Vendetta', 'Voice Of The Fire', 'Watchmen']"
27,27,27,30,Alan Plater,Television,1935-04-15,,"A Very British Coup (mini-series), Oh No It's Selwyn Froggitt, The Beiderbecke Trilogy",Alan Plater,['Television'],"['A Very British Coup Miniseries', 'Oh No Its Selwyn Froggitt', 'The Beiderbecke Trilogy']"
28,28,28,31,Alan Simpson (scriptwriter),Television,1929-11-27,,"Comedy Playhouse, Hancock's Half Hour, Steptoe and Son",Alan Simpson (scriptwriter),['Television'],"['Comedy Playhouse', 'Hancocks Half Hour', 'Steptoe And Son']"
29,29,29,32,Alan White (novelist),"Militaria, War novels",1924-02-23,,The Long Day's Dying,Alan White (novelist),"['Militaria', 'War Novels']",['The Long Days Dying']
30,30,30,33,Alasdair Gray,"Dystopian novel, Realism (arts), Science fiction, Surrealism",1934-12-28,,"1982, Janine, Lanark: A Life in Four Books, Poor Things, The Book of Prefaces",Alasdair Gray,"['Dystopian Novel', 'Realism Arts', 'Science Fiction', 'Surrealism']","['1982', 'Janine', 'Lanark A Life In Four Books', 'Poor Things', 'The Book Of Prefaces']"
31,31,31,34,Alberto Manguel,"Novel, essay",1948-03-13,,"Reading (process), The Dictionary of Imaginary Places",Alberto Manguel,"['Novel', 'Essay']","['Reading Process', 'The Dictionary Of Imaginary Places']"
32,32,32,35,Aleksey Pisemsky,"Novel, short story",1821-03-23,,A Bitter Fate,Aleksey Pisemsky,"['Novel', 'Short Story']",['A Bitter Fate']
33,33,33,36,Alethea Arnaquq-Baril,"Documentary, Feature Films, Short Films",1978-05-09,,Angry Inuk,Alethea Arnaquq-Baril,"['Documentary', 'Feature Films', 'Short Films']",['Angry Inuk']
34,34,34,37,Alex Miller (writer),Literary fiction,1936-12-27,,"Journey to the Stone Country, Lovesong (novel), The Ancestor Game",Alex Miller (writer),['Literary Fiction'],"['Journey To The Stone Country', 'Lovesong Novel', 'The Ancestor Game']"
35,35,35,38,Alex Scarrow,"Alternate history, Thriller (genre)",1966-02-14,,TimeRiders,Alex Scarrow,"['Alternate History', 'Thriller Genre']",['Timeriders']
36,36,36,39,Alexander Belyaev,"Adventure novel, Science fiction",1884-03-16,Russia,"Amphibian Man, Ariel (novel), Professor Dowell's Head, The Air Seller",Alexander Belyaev,"['Adventure Novel', 'Science Fiction']","['Amphibian Man', 'Ariel Novel', 'Professor Dowells Head', 'The Air Seller']"
37,37,37,40,Alexander Cordell,Novel,1914-09-09,,Rape of the Fair Country,Alexander Cordell,['Novel'],['Rape Of The Fair Country']
38,38,38,41,Alexander Pushkin,"Novel, novel in verse, poem, drama, short story, fairytale",1799-06-06,Russian,"Boris Godunov (play), Eugene Onegin, Ruslan and Ludmila, The Captain's Daughter",Alexander Pushkin,"['Novel', 'Novel In Verse', 'Poem', 'Drama', 'Short Story', 'Fairytale']","['Boris Godunov Play', 'Eugene Onegin', 'Ruslan And Ludmila', 'The Captains Daughter']"
39,39,39,42,Alexander Victorovich Fedorov,Non-fiction,1954-11-04,,Moscow,Alexander Victorovich Fedorov,['Nonfiction'],['Moscow']
40,40,40,43,Alexandra Day,Children's picture books,1941-04-27,,"Good Dog, Carl",Alexandra Day,['Childrens Picture Books'],"['Good Dog', 'Carl']"
41,41,41,44,Alexandre Herculano,Romantic poetry,1810-03-28,Portuguese language,"Eurico, o Presbítero",Alexandre Herculano,['Romantic Poetry'],"['Eurico', 'O Presbtero']"
42,42,42,45,Alexis Wright,"Fiction, Non-fiction",1950-11-25,,Carpentaria (novel),Alexis Wright,"['Fiction', 'Nonfiction']",['Carpentaria Novel']
43,43,43,46,Alfred Döblin,Essay,1878-08-10,,"Berge Meere und Giganten, Berlin Alexanderplatz, November 1918: A German Revolution, Tales of a Long Night, The Three Leaps of Wang Lun, Wallenstein (novel)",Alfred Döblin,['Essay'],"['Berge Meere Und Giganten', 'Berlin Alexanderplatz', 'November 1918 A German Revolution', 'Tales Of A Long Night', 'The Three Leaps Of Wang Lun', 'Wallenstein Novel']"
44,44,44,47,Algernon Blackwood,"Fantasy, Horror Fiction, Weird fiction",1869-03-14,,"The Wendigo (novella), The Willows (story)",Algernon Blackwood,"['Fantasy', 'Horror Fiction', 'Weird Fiction']","['The Wendigo Novella', 'The Willows Story']"
45,45,45,48,Algis Budrys,Science fiction,1931-01-09,,"Rogue Moon, The Falling Torch, Who? (novel)",Algis Budrys,['Science Fiction'],"['Rogue Moon', 'The Falling Torch', 'Who Novel']"
46,46,46,49,Ali Almossawi,"Educational, Humor",1984-12-01,Bahrain,An Illustrated Book of Bad Arguments,Ali Almossawi,"['Educational', 'Humor']",['An Illustrated Book Of Bad Arguments']
47,47,47,50,Ali Liebegott,"Poetry, fiction",1971-08-08,,The IHOP Papers,Ali Liebegott,"['Poetry', 'Fiction']",['The Ihop Papers']
48,48,48,51,Alice Alison Lide,Children's Literature,1890-02-08,,Ood-Le-Uk the Wanderer,Alice Alison Lide,['Childrens Literature'],['Oodleuk The Wanderer']
49,49,49,52,Alice Sebold,Memoir,1963-09-06,,"Lucky (memoir), The Almost Moon, The Lovely Bones",Alice Sebold,['Memoir'],"['Lucky Memoir', 'The Almost Moon', 'The Lovely Bones']"
50,50,50,53,Alice Walker,African-American literature,1944-02-09,,The Color Purple,Alice Walker,['Africanamerican Literature'],['The Color Purple']
51,51,51,54,Aliette de Bodard,"Fantasy, Science fiction",1982-11-10,French people,"The House of Shattered Wings, The Tea Master and the Detective",Aliette de Bodard,"['Fantasy', 'Science Fiction']","['The House Of Shattered Wings', 'The Tea Master And The Detective']"
52,52,52,55,Aliki Brandenberg,Children's literature,1929-09-03,,Feelings (Aliki book),Aliki Brandenberg,['Childrens Literature'],['Feelings Aliki Book']
53,53,53,56,Alison Bechdel,"Autobiography, Social commentary",1960-09-10,,"Are You My Mother? (memoir), Dykes to Watch Out For, Fun Home",Alison Bechdel,"['Autobiography', 'Social Commentary']","['Are You My Mother Memoir', 'Dykes To Watch Out For', 'Fun Home']"
54,54,54,57,Alison McGhee,"Fiction, young adult, children's picture books",1960-07-08,,Shadow Baby,Alison McGhee,"['Fiction', 'Young Adult', 'Childrens Picture Books']",['Shadow Baby']
55,55,55,58,Alison Prince,Children's literature,1931-03-26,,Trumpton,Alison Prince,['Childrens Literature'],['Trumpton']
56,56,56,59,Allan Frewin Jones,"Children's books, Young adult fiction",1954-04-30,,"Talisman (book series), The Faerie Path",Allan Frewin Jones,"['Childrens Books', 'Young Adult Fiction']","['Talisman Book Series', 'The Faerie Path']"
57,57,57,60,Allen Carr,Self-help book,1934-09-02,,The Easy Way to Stop Smoking,Allen Carr,['Selfhelp Book'],['The Easy Way To Stop Smoking']
58,58,58,61,Allen Steele,Science fiction,1958-01-19,,Coyote (novel),Allen Steele,['Science Fiction'],['Coyote Novel']
59,59,59,62,Allen Tate,Poetry Magazine,1899-11-19,,Ode to the Confederate Dead,Allen Tate,['Poetry Magazine'],['Ode To The Confederate Dead']
60,60,60,63,Ally Condie,"Children's literature, Utopian and dystopian fiction, Young adult fiction",1978-11-02,,Matched trilogy,Ally Condie,"['Childrens Literature', 'Utopian And Dystopian Fiction', 'Young Adult Fiction']",['Matched Trilogy']
61,61,61,64,Alma Alexander,Fantasy,1963-07-05,,The Secrets of Jin-Shei,Alma Alexander,['Fantasy'],['The Secrets Of Jinshei']
62,62,62,65,Alois Jirásek,Literary realism,1851-08-23,Czechs,"Ancient Bohemian Legends, Bratrstvo, F. L. Věk",Alois Jirásek,['Literary Realism'],"['Ancient Bohemian Legends', 'Bratrstvo', 'F L Vk']"
63,63,63,66,Alyson Noël,"Chick lit, Paranormal romance, Young adult fiction",1965-12-03,,"Riley Bloom series, The Immortals (novel series)",Alyson Noël,"['Chick Lit', 'Paranormal Romance', 'Young Adult Fiction']","['Riley Bloom Series', 'The Immortals Novel Series']"
64,64,64,67,Ama Ata Aidoo,"Drama, fiction, poetry",1942-03-23,,"Anowa, Our Sister Killjoy",Ama Ata Aidoo,"['Drama', 'Fiction', 'Poetry']","['Anowa', 'Our Sister Killjoy']"
65,65,65,68,Amanda Hocking,"Paranormal romance, Young adult fiction",1984-07-12,,Trylle Trilogy,Amanda Hocking,"['Paranormal Romance', 'Young Adult Fiction']",['Trylle Trilogy']
66,66,66,69,Amanda Montell,"Feminist, Linguistics, Nonfiction, Social Science",1992-02-16,United States,Cultish: The Language of Fanaticism,Amanda Montell,"['Feminist', 'Linguistics', 'Nonfiction', 'Social Science']",['Cultish The Language Of Fanaticism']
67,67,67,70,Amir Hamzah,Poetry,1911-02-28,Malay people,"Buah Rindu, Nyanyi Sunyi",Amir Hamzah,['Poetry'],"['Buah Rindu', 'Nyanyi Sunyi']"
68,68,68,71,Amitav Ghosh,Historical fiction,1956-07-11,Indian people,"Ibis trilogy, The Glass Palace, The Great Derangement: Climate Change and the Unthinkable, The Shadow Lines",Amitav Ghosh,['Historical Fiction'],"['Ibis Trilogy', 'The Glass Palace', 'The Great Derangement Climate Change And The Unthinkable', 'The Shadow Lines']"
69,69,69,72,Amos Bar,"Historical romance, Young adult fiction",1931-10-15,,Society for the Protection of Nature in Israel,Amos Bar,"['Historical Romance', 'Young Adult Fiction']",['Society For The Protection Of Nature In Israel']
70,70,70,73,Amrita Pritam,Prose,1919-08-31,Indian people,"Ajj aakhaan Waris Shah nu, Pinjar (novel)",Amrita Pritam,['Prose'],"['Ajj Aakhaan Waris Shah Nu', 'Pinjar Novel']"
71,71,71,74,Anders August,Film,1978-06-15,Denmark,"Applaus, Dirch, SuperClásico",Anders August,['Film'],"['Applaus', 'Dirch', 'Superclsico']"
72,72,72,75,Andreas Eschbach,Thriller (genre),1959-09-15,,"Eine Billion Dollar, Jesus Video",Andreas Eschbach,['Thriller Genre'],"['Eine Billion Dollar', 'Jesus Video']"
73,73,73,76,Andrei Gusev,"Erotica, Fantasy, Thriller (genre)",1952-10-27,,"On the Edge of Magellanic Clouds, The World According to Novikoff, With Chronos' Permit",Andrei Gusev,"['Erotica', 'Fantasy', 'Thriller Genre']","['On The Edge Of Magellanic Clouds', 'The World According To Novikoff', 'With Chronos Permit']"
74,74,74,77,Andrew Davies (writer),"Novels, Screenplays",1936-09-20,,"A Very Peculiar Practice, Bleak House (2005 TV serial), House of Cards (UK TV series), Little Dorrit (TV series), Middlemarch (1994 TV serial), Pride and Prejudice (1995 TV series), Sanditon (TV series), Vanity Fair (1998 TV serial), War & Peace (2016 TV series)",Andrew Davies (writer),"['Novels', 'Screenplays']","['A Very Peculiar Practice', 'Bleak House 2005 Tv Serial', 'House Of Cards Uk Tv Series', 'Little Dorrit Tv Series', 'Middlemarch 1994 Tv Serial', 'Pride And Prejudice 1995 Tv Series', 'Sanditon Tv Series', 'Vanity Fair 1998 Tv Serial', 'War  Peace 2016 Tv Series']"
75,75,75,78,Andrew Marshall (screenwriter),Television,1954-08-27,British people,"2point4 Children, Dad (TV series), Hot Metal",Andrew Marshall (screenwriter),['Television'],"['2Point4 Children', 'Dad Tv Series', 'Hot Metal']"
76,76,76,79,Andrew Martin (novelist),Crime Fiction,1962-07-06,,"Jim Stringer, Steam Detective (novels)",Andrew Martin (novelist),['Crime Fiction'],"['Jim Stringer', 'Steam Detective Novels']"
77,77,77,80,Andrey Shary,Non-fiction,1965-06-17,,James Bond,Andrey Shary,['Nonfiction'],['James Bond']
78,78,78,81,Andrzej Sapkowski,"Fantasy, History",1948-06-21,,"Hussite Trilogy, The Witcher",Andrzej Sapkowski,"['Fantasy', 'History']","['Hussite Trilogy', 'The Witcher']"
79,79,79,82,André Alexis,"novelist, librettist",1957-01-15,,Fifteen Dogs,André Alexis,"['Novelist', 'Librettist']",['Fifteen Dogs']
80,80,80,83,André Breton,"Histories, poetry, essays",1896-02-19,,Surrealist Manifesto,André Breton,"['Histories', 'Poetry', 'Essays']",['Surrealist Manifesto']
81,81,81,84,André Vianco,"Apocalyptic and post-apocalyptic fiction, Children's literature, Ghost story, Horror fiction, Science fiction, Supernatural fiction, Thriller (genre), Urban fantasy, Vampire literature",1975-01-10,,"Os Sete, Sétimo",André Vianco,"['Apocalyptic And Postapocalyptic Fiction', 'Childrens Literature', 'Ghost Story', 'Horror Fiction', 'Science Fiction', 'Supernatural Fiction', 'Thriller Genre', 'Urban Fantasy', 'Vampire Literature']","['Os Sete', 'Stimo']"
82,82,82,85,Andy Breckman,"Comedy, Detective fiction",1955-03-03,English language,"Arthur 2: On the Rocks, I.Q. (film), Monk (TV series), Rat Race (film), Seven Second Delay, Sgt. Bilko, The Good Cop (American TV series), True Identity",Andy Breckman,"['Comedy', 'Detective Fiction']","['Arthur 2 On The Rocks', 'Iq Film', 'Monk Tv Series', 'Rat Race Film', 'Seven Second Delay', 'Sgt Bilko', 'The Good Cop American Tv Series', 'True Identity']"
83,83,83,86,Andy Lane,"Detective fiction, Science fiction, Young adult fiction",1963-04-17,,Young Sherlock Holmes (books),Andy Lane,"['Detective Fiction', 'Science Fiction', 'Young Adult Fiction']",['Young Sherlock Holmes Books']
84,84,84,87,Andy Mangels,Science fiction,1966-12-02,,Gay Comix,Andy Mangels,['Science Fiction'],['Gay Comix']
85,85,85,88,Andy Weir,"Fantasy, Science fiction",1972-06-16,,"Project Hail Mary, The Egg (2009 short story), The Martian (Weir novel)",Andy Weir,"['Fantasy', 'Science Fiction']","['Project Hail Mary', 'The Egg 2009 Short Story', 'The Martian Weir Novel']"
86,86,86,89,Angela Sommer-Bodenburg,Fantasy,1948-12-18,,Der kleine Vampir,Angela Sommer-Bodenburg,['Fantasy'],['Der Kleine Vampir']
87,87,87,90,Angelo F. Coniglio,American Football League,1936-08-21,,The Lady of the Wheel,Angelo F. Coniglio,['American Football League'],['The Lady Of The Wheel']
88,88,88,91,Angie Sage,Fantasy,1952-06-20,,Septimus Heap,Angie Sage,['Fantasy'],['Septimus Heap']
89,89,89,92,Angie Thomas,"Middle Grade, Young Adult Fiction",1988-09-20,English,"On the Come Up, The Hate U Give",Angie Thomas,"['Middle Grade', 'Young Adult Fiction']","['On The Come Up', 'The Hate U Give']"
90,90,90,93,Angus Watson,Fantasy,1972-09-04,,Age of Iron,Angus Watson,['Fantasy'],['Age Of Iron']
91,91,91,94,Ann Bannon,"LGBT history, Lesbian pulp fiction",1932-09-15,,"Beebo Brinker (novel), I Am a Woman, Journey to a Woman, Odd Girl Out (novel), Women in the Shadows",Ann Bannon,"['Lgbt History', 'Lesbian Pulp Fiction']","['Beebo Brinker Novel', 'I Am A Woman', 'Journey To A Woman', 'Odd Girl Out Novel', 'Women In The Shadows']"
92,92,92,95,Ann C. Crispin,"Novelization, Science fiction",1950-04-05,,"Sarek (novel), The Han Solo Trilogy, Yesterday's Son",Ann C. Crispin,"['Novelization', 'Science Fiction']","['Sarek Novel', 'The Han Solo Trilogy', 'Yesterdays Son']"
93,93,93,96,Ann Eliza Smith,Novels,1819-10-07,English,ATLA - A Story of the Lost Island,Ann Eliza Smith,['Novels'],['Atla  A Story Of The Lost Island']
94,94,94,97,Ann Leckie,"Fantasy, Science fiction",1966-03-02,,Ancillary Justice,Ann Leckie,"['Fantasy', 'Science Fiction']",['Ancillary Justice']
95,95,95,98,Ann M. Martin,"Children's literature, Young adult fiction",1955-08-12,English,The Baby-Sitters Club,Ann M. Martin,"['Childrens Literature', 'Young Adult Fiction']",['The Babysitters Club']
96,96,96,99,Ann Marie Di Mambro,"Television drama, theatre",1950-06-18,,Machair (TV series),Ann Marie Di Mambro,"['Television Drama', 'Theatre']",['Machair Tv Series']
97,97,97,100,Ann Oakley,Feminism,1944-01-17,,The Men's Room,Ann Oakley,['Feminism'],['The Mens Room']
98,98,98,101,Ann Patchett,Literary fiction,1963-12-02,,Bel Canto (novel),Ann Patchett,['Literary Fiction'],['Bel Canto Novel']
99,99,99,102,Anna Gavalda,"novel, short stories",1970-05-23,French,Hunting and Gathering (novel),Anna Gavalda,"['Novel', 'Short Stories']",['Hunting And Gathering Novel']
100,100,100,103,Anne Brontë,"Fiction, poetry",1820-01-17,English,The Tenant of Wildfell Hall,Anne Brontë,"['Fiction', 'Poetry']",['The Tenant Of Wildfell Hall']
101,101,101,104,Anne Desclos,Prose,1907-09-23,,Story of O,Anne Desclos,['Prose'],['Story Of O']
102,102,102,105,Anne Digby,Children's fiction,1943-05-05,,Trebizon,Anne Digby,['Childrens Fiction'],['Trebizon']
103,103,103,106,Anne Enright,"Novel, Short story",1962-10-11,Irish people,The Gathering (Enright novel),Anne Enright,"['Novel', 'Short Story']",['The Gathering Enright Novel']
104,104,104,107,Anne Fine,Black comedy,1947-12-07,,"Flour Babies, Goggle-Eyes, Madame Doubtfire",Anne Fine,['Black Comedy'],"['Flour Babies', 'Goggleeyes', 'Madame Doubtfire']"
105,105,105,108,Anne Mather,Romantic novel,1936-10-10,,Leopard in the Snow,Anne Mather,['Romantic Novel'],['Leopard In The Snow']
106,106,106,109,Anne McCaffrey,"Science fiction, romance",1926-04-01,,"Dragonriders of Pern, Restoree, The Ship Who Sang",Anne McCaffrey,"['Science Fiction', 'Romance']","['Dragonriders Of Pern', 'Restoree', 'The Ship Who Sang']"
107,107,107,110,Anne Parrish,Children's literature,1888-11-12,,"Floating Island, The Dream Coach, The Story of Appleby Capple",Anne Parrish,['Childrens Literature'],"['Floating Island', 'The Dream Coach', 'The Story Of Appleby Capple']"
108,108,108,111,Anne Robillard,Fantasy,1955-02-09,,Knights of Emerald,Anne Robillard,['Fantasy'],['Knights Of Emerald']
109,109,109,112,Annie Dillard,", Nonfiction, fiction, poetry",1945-04-30,,"Pilgrim at Tinker Creek, The Maytrees (novel)",Annie Dillard,"['Nonfiction', 'Fiction', 'Poetry']","['Pilgrim At Tinker Creek', 'The Maytrees Novel']"
110,110,110,113,Annie M. G. Schmidt,"Drama, Poetry",1911-05-20,Dutch language,"Jip en Janneke, Pluk van de Petteflet",Annie M. G. Schmidt,"['Drama', 'Poetry']","['Jip En Janneke', 'Pluk Van De Petteflet']"
111,111,111,114,Antanas Baranauskas,Romanticism,1835-01-17,Lithuanian language,The Forest of Anykščiai,Antanas Baranauskas,['Romanticism'],['The Forest Of Anykiai']
112,112,112,116,Anthony Horowitz,"Adventure, Mystery, Thriller, Horror, Fantasy",1955-04-05,,"Alex Rider, Foyle's War, Magpie Murders, The Diamond Brothers, The House of Silk, The Power of Five",Anthony Horowitz,"['Adventure', 'Mystery', 'Thriller', 'Horror', 'Fantasy']","['Alex Rider', 'Foyles War', 'Magpie Murders', 'The Diamond Brothers', 'The House Of Silk', 'The Power Of Five']"
113,113,113,117,Anthony McGowan,"Children's literature, Literary fiction, Nonfiction, Young adult fiction",1965-01-01,English language,"Hellbent (novel), The Knife That Killed Me",Anthony McGowan,"['Childrens Literature', 'Literary Fiction', 'Nonfiction', 'Young Adult Fiction']","['Hellbent Novel', 'The Knife That Killed Me']"
114,114,114,118,Antonella Gambotto-Burke,"memoir, literary nonfiction",1965-09-19,,"Mama: Love, Motherhood and Revolution, The Eclipse: A Memoir of Suicide",Antonella Gambotto-Burke,"['Memoir', 'Literary Nonfiction']","['Mama Love', 'Motherhood And Revolution', 'The Eclipse A Memoir Of Suicide']"
115,115,115,119,Antonio Skármeta,Novel,1940-11-07,Spanish,Ardiente paciencia,Antonio Skármeta,['Novel'],['Ardiente Paciencia']
116,116,116,120,Anya Seton,Historical fiction,1904-01-23,English,"Green Darkness, Katherine (Seton novel)",Anya Seton,['Historical Fiction'],"['Green Darkness', 'Katherine Seton Novel']"
117,117,117,121,Apostolos Doxiadis,Graphic novel,1953-06-06,,"Logicomix, Uncle Petros and Goldbach's Conjecture",Apostolos Doxiadis,['Graphic Novel'],"['Logicomix', 'Uncle Petros And Goldbachs Conjecture']"
118,118,118,122,Aravind Adiga,Novel and short story,1974-10-23,,"Last Man in Tower, Selection Day, The White Tiger (Adiga novel)",Aravind Adiga,['Novel And Short Story'],"['Last Man In Tower', 'Selection Day', 'The White Tiger Adiga Novel']"
119,119,119,123,Ari Berk,"Children's fiction, Dark fantasy, Fantasy, Gothic fiction, Mythology, Non-fiction, Poetry, Young adult fiction",1967-03-07,,"Goblins!, Secret history",Ari Berk,"['Childrens Fiction', 'Dark Fantasy', 'Fantasy', 'Gothic Fiction', 'Mythology', 'Nonfiction', 'Poetry', 'Young Adult Fiction']","['Goblins', 'Secret History']"
120,120,120,124,Ariel S. Leve,"Non fiction, memoir",1968-01-24,,An Abbreviated Life,Ariel S. Leve,"['Non Fiction', 'Memoir']",['An Abbreviated Life']
