authorLabel,combinedGenres,birthDate,combinedNationalityOrLanguage,topBooks
Alexandre Herculano,Romantic poetry,1810-03-28,Portuguese language,"Eurico, o Presbítero"
Alexis Wright,"Fiction, Non-fiction",1950-11-25,,Carpentaria (novel)
Alfred Döblin,Essay,1878-08-10,,"Berge Meere und Giganten, Berlin Alexanderplatz, November 1918: A German Revolution, Tales of a Long Night, The Three Leaps of Wang Lun, Wallenstein (novel)"
Algernon Blackwood,"Fantasy, Horror Fiction, Weird fiction",1869-03-14,,"The Wendigo (novella), The Willows (story)"
Algis Budrys,Science fiction,1931-01-09,,"Rogue Moon, The Falling Torch, Who? (novel)"
Ali Almossawi,"Educational, Humor",1984-12-01,Bahrain,An Illustrated Book of Bad Arguments
Ali Liebegott,"Poetry, fiction",1971-08-08,,The IHOP Papers
Alice Alison Lide,Children's Literature,1890-02-08,,Ood-Le-Uk the Wanderer
Alice Sebold,Memoir,1963-09-06,,"Lucky (memoir), The Almost Moon, The Lovely Bones"
Alice Walker,African-American literature,1944-02-09,,The Color Purple
Aliette de Bodard,"Fantasy, Science fiction",1982-11-10,French people,"The House of Shattered Wings, The Tea Master and the Detective"
Aliki Brandenberg,Children's literature,1929-09-03,,Feelings (Aliki book)
Alison Bechdel,"Autobiography, Social commentary",1960-09-10,,"Are You My Mother? (memoir), Dykes to Watch Out For, Fun Home"
Alison McGhee,"Fiction, young adult, children's picture books",1960-07-08,,Shadow Baby
Alison Prince,Children's literature,1931-03-26,,Trumpton
Allan Frewin Jones,"Children's books, Young adult fiction",1954-04-30,,"Talisman (book series), The Faerie Path"
Allen Carr,Self-help book,1934-09-02,,The Easy Way to Stop Smoking
Allen Steele,Science fiction,1958-01-19,,Coyote (novel)
Allen Tate,Poetry Magazine,1899-11-19,,Ode to the Confederate Dead
Ally Condie,"Children's literature, Utopian and dystopian fiction, Young adult fiction",1978-11-02,,Matched trilogy
Alma Alexander,Fantasy,1963-07-05,,The Secrets of Jin-Shei
Alois Jirásek,Literary realism,1851-08-23,Czechs,"Ancient Bohemian Legends, Bratrstvo, F. L. Věk"
Alyson Noël,"Chick lit, Paranormal romance, Young adult fiction",1965-12-03,,"Riley Bloom series, The Immortals (novel series)"
Ama Ata Aidoo,"Drama, fiction, poetry",1942-03-23,,"Anowa, Our Sister Killjoy"
Amanda Hocking,"Paranormal romance, Young adult fiction",1984-07-12,,Trylle Trilogy
Amanda Montell,"Feminist, Linguistics, Nonfiction, Social Science",1992-02-16,United States,Cultish: The Language of Fanaticism
Amir Hamzah,Poetry,1911-02-28,Malay people,"Buah Rindu, Nyanyi Sunyi"
Amitav Ghosh,Historical fiction,1956-07-11,Indian people,"Ibis trilogy, The Glass Palace, The Great Derangement: Climate Change and the Unthinkable, The Shadow Lines"
Amos Bar,"Historical romance, Young adult fiction",1931-10-15,,Society for the Protection of Nature in Israel
Amrita Pritam,Prose,1919-08-31,Indian people,"Ajj aakhaan Waris Shah nu, Pinjar (novel)"
Anders August,Film,1978-06-15,Denmark,"Applaus, Dirch, SuperClásico"
Andreas Eschbach,Thriller (genre),1959-09-15,,"Eine Billion Dollar, Jesus Video"
Andrei Gusev,"Erotica, Fantasy, Thriller (genre)",1952-10-27,,"On the Edge of Magellanic Clouds, The World According to Novikoff, With Chronos' Permit"
Andrew Davies (writer),"Novels, Screenplays",1936-09-20,,"A Very Peculiar Practice, Bleak House (2005 TV serial), House of Cards (UK TV series), Little Dorrit (TV series), Middlemarch (1994 TV serial), Pride and Prejudice (1995 TV series), Sanditon (TV series), Vanity Fair (1998 TV serial), War & Peace (2016 TV series)"
Andrew Marshall (screenwriter),Television,1954-08-27,British people,"2point4 Children, Dad (TV series), Hot Metal"
Andrew Martin (novelist),Crime Fiction,1962-07-06,,"Jim Stringer, Steam Detective (novels)"
Andrey Shary,Non-fiction,1965-06-17,,James Bond
Andrzej Sapkowski,"Fantasy, History",1948-06-21,,"Hussite Trilogy, The Witcher"
André Alexis,"novelist, librettist",1957-01-15,,Fifteen Dogs
André Breton,"Histories, poetry, essays",1896-02-19,,Surrealist Manifesto
André Vianco,"Apocalyptic and post-apocalyptic fiction, Children's literature, Ghost story, Horror fiction, Science fiction, Supernatural fiction, Thriller (genre), Urban fantasy, Vampire literature",1975-01-10,,"Os Sete, Sétimo"
Andy Breckman,"Comedy, Detective fiction",1955-03-03,English language,"Arthur 2: On the Rocks, I.Q. (film), Monk (TV series), Rat Race (film), Seven Second Delay, Sgt. Bilko, The Good Cop (American TV series), True Identity"
Andy Lane,"Detective fiction, Science fiction, Young adult fiction",1963-04-17,,Young Sherlock Holmes (books)
Andy Mangels,Science fiction,1966-12-02,,Gay Comix
Andy Weir,"Fantasy, Science fiction",1972-06-16,,"Project Hail Mary, The Egg (2009 short story), The Martian (Weir novel)"
Angela Sommer-Bodenburg,Fantasy,1948-12-18,,Der kleine Vampir
Angelo F. Coniglio,American Football League,1936-08-21,,The Lady of the Wheel
Angie Sage,Fantasy,1952-06-20,,Septimus Heap
Angie Thomas,"Middle Grade, Young Adult Fiction",1988-09-20,English,"On the Come Up, The Hate U Give"
Angus Watson,Fantasy,1972-09-04,,Age of Iron
Ann Bannon,"LGBT history, Lesbian pulp fiction",1932-09-15,,"Beebo Brinker (novel), I Am a Woman, Journey to a Woman, Odd Girl Out (novel), Women in the Shadows"
Ann C. Crispin,"Novelization, Science fiction",1950-04-05,,"Sarek (novel), The Han Solo Trilogy, Yesterday's Son"
Ann Eliza Smith,Novels,1819-10-07,English,ATLA - A Story of the Lost Island
Ann Leckie,"Fantasy, Science fiction",1966-03-02,,Ancillary Justice
Ann M. Martin,"Children's literature, Young adult fiction",1955-08-12,English,The Baby-Sitters Club
Ann Marie Di Mambro,"Television drama, theatre",1950-06-18,,Machair (TV series)
Ann Oakley,Feminism,1944-01-17,,The Men's Room
Ann Patchett,Literary fiction,1963-12-02,,Bel Canto (novel)
Anna Gavalda,"novel, short stories",1970-05-23,French,Hunting and Gathering (novel)
Anne Brontë,"Fiction, poetry",1820-01-17,English,The Tenant of Wildfell Hall
Anne Desclos,Prose,1907-09-23,,Story of O
Anne Digby,Children's fiction,1943-05-05,,Trebizon
Anne Enright,"Novel, Short story",1962-10-11,Irish people,The Gathering (Enright novel)
Anne Fine,Black comedy,1947-12-07,,"Flour Babies, Goggle-Eyes, Madame Doubtfire"
Anne Mather,Romantic novel,1936-10-10,,Leopard in the Snow
Anne McCaffrey,"Science fiction, romance",1926-04-01,,"Dragonriders of Pern, Restoree, The Ship Who Sang"
Anne Parrish,Children's literature,1888-11-12,,"Floating Island, The Dream Coach, The Story of Appleby Capple"
Anne Robillard,Fantasy,1955-02-09,,Knights of Emerald
Annie Dillard,", Nonfiction, fiction, poetry",1945-04-30,,"Pilgrim at Tinker Creek, The Maytrees (novel)"
Annie M. G. Schmidt,"Drama, Poetry",1911-05-20,Dutch language,"Jip en Janneke, Pluk van de Petteflet"
Antanas Baranauskas,Romanticism,1835-01-17,Lithuanian language,The Forest of Anykščiai
Antanas Baranauskas,Romanticism,1835-01-17,Lithuanian language,The Forest of Anykščiai
Anthony Horowitz,"Adventure, Mystery, Thriller, Horror, Fantasy",1955-04-05,,"Alex Rider, Foyle's War, Magpie Murders, The Diamond Brothers, The House of Silk, The Power of Five"
Anthony McGowan,"Children's literature, Literary fiction, Nonfiction, Young adult fiction",1965-01-01,English language,"Hellbent (novel), The Knife That Killed Me"
Antonella Gambotto-Burke,"memoir, literary nonfiction",1965-09-19,,"Mama: Love, Motherhood and Revolution, The Eclipse: A Memoir of Suicide"
Antonio Skármeta,Novel,1940-11-07,Spanish,Ardiente paciencia
Anya Seton,Historical fiction,1904-01-23,English,"Green Darkness, Katherine (Seton novel)"
Apostolos Doxiadis,Graphic novel,1953-06-06,,"Logicomix, Uncle Petros and Goldbach's Conjecture"
Aravind Adiga,Novel and short story,1974-10-23,,"Last Man in Tower, Selection Day, The White Tiger (Adiga novel)"
Ari Berk,"Children's fiction, Dark fantasy, Fantasy, Gothic fiction, Mythology, Non-fiction, Poetry, Young adult fiction",1967-03-07,,"Goblins!, Secret history"
Ariel S. Leve,"Non fiction, memoir",1968-01-24,,An Abbreviated Life
Arlette Cousture,Novel,1948-04-03,,Les Filles de Caleb
Arnold Lobel,Children's literature,1933-05-22,,"Frog and Toad, Mouse Soup"
Arnold Weinstein,"Musical theatre, Opera",1927-06-10,,"A View From the Bridge, McTeague"
Arnon Grunberg,"Novels, essays, columns",1971-02-22,Dutch language,Tirza
Arthur C. Clarke,"Hard science fiction, Popular science",1917-12-16,,"2001: A Space Odyssey, Childhood's End, Rendezvous with Rama, The Fountains of Paradise"
Arthur Conan Doyle,Detective fiction,1859-05-22,,"Canon of Sherlock Holmes, The Lost World (Conan Doyle novel)"
Arthur Phillips,Literary fiction,1969-04-23,English,"Prague (novel), The Tragedy of Arthur"
Arthur Ransome,Children's literature,1884-01-18,,Swallows and Amazons series
Arthur Schnitzler,"Short stories, novels, plays",1862-05-15,German,"Dream Story, Fräulein Else (novella), La Ronde (play)"
Arto Paasilinna,"Comedy, Picaresque, Satire",1942-04-20,,"The Howling Miller, The Year of the Hare (novel)"
Arturo Islas,Chicano Literature,1938-05-24,,The Rain God
Arturo Pérez-Reverte,Historical novel,1951-11-25,Spanish,Captain Alatriste
Aryamba Pattabhi,"Biographies,, Feminism, Fiction on Family Dramas,, Psychological/ Mental Illness,, Romance,, Social Stigma,, Sports,",1936-03-12,Kannada,"Eradu Mukha, Savathiya Neralu"
Ashapurna Devi,Fiction,1909-01-08,India,Prothom Protishruti
Ashley Pharoah,"Drama, science fiction",1959-09-13,,"Ashes to Ashes (British TV series), Life on Mars (UK TV series), Wild at Heart (UK TV series)"
Ashwin Sanghi,"Conspiracy fiction, Mystery fiction, Thriller (genre)",1969-01-25,,"Chanakya's Chant, The Krishna Key, The Rozabal Line"
Athol Fugard,"Drama, novel, memoir",1932-06-11,,"""Master Harold""...and the Boys, Blood Knot"
Audre Lorde,"Nonfiction, Poetry",1934-02-18,,"The Cancer Journals, Zami: A New Spelling of My Name"
Augusta Jane Evans Wilson,Southern literature,1835-05-08,English,St. Elmo (novel)
Augusto Roa Bastos,Dictator novel,1917-06-13,,"Hijo de hombre, I, the Supreme"
Avi (author),"Children's literature, YA fiction",1937-12-23,,"Crispin: The Cross of Lead, Nothing But the Truth (book), Poppy (novel), The True Confessions of Charlotte Doyle"
Ayana Gray,"Children's literature, Fantasy",1993-03-13,English,Beasts of Prey (novel)
Ayu Utami,"Essay, Novel",1968-11-21,Indonesian,Saman (novel)
B. S. Johnson,Prose,1933-02-05,,"Albert Angelo, Christie Malry's Own Double-Entry"
Babi Dewet,", Romance, juvenile, young adult",1986-12-30,,Sábado à Noite
Baku Yumemakura,"Adventure novel, Fantasy, Science fiction",1951-01-01,Japanese people,"Garou Den, Onmyoji (novel series), The Summit of the Gods"
Bali Rai,Young adult fiction,1971-11-30,English,(Un)arranged Marriage
Barbara Comyns,English literature,1907-12-27,,The Vet's Daughter
Barbara Cooney,"Children's literature, Fiction, Poetry",1917-08-06,,"Chanticleer and the Fox (book), Miss Rumphius, Ox-Cart Man"
Barbro Lindgren,"Children's fiction, picture books",1937-03-18,,"Den vilda bebin, Max (book series)"
Barcroft Boake (poet),bush poetry,1866-03-26,English,Where the Dead Men Lie
Baroness Orczy,"Adventure fiction, Mystery fiction",1865-09-23,Hungary,"The Emperor's Candlesticks, The Scarlet Pimpernel"
Barry B. Longyear,Science fiction,1942-05-12,Americans,"Circus World (novel), Enemy Mine (novella), Sea of Glass"
Barry Took,"Radio, television",1928-06-19,,"Bootsie and Snudge, One-Upmanship, Round the Horne, The Army Game"
Barthold Fles,"Children's literature, Non-fiction",1902-02-07,,"Bambi's Children, Literature"
Becca Fitzpatrick,"Fantasy, Romance novel, Young adult fiction",1979-02-03,,"Hush, Hush (series)"
Becky Albertalli,"Coming of age novel, LGBT literature, Young adult fiction",1982-11-17,,"Leah on the Offbeat, Love, Creekwood, Simon vs. the Homo Sapiens Agenda, The Upside of Unrequited"
Ben Okri,"Fiction, essays, poetry",1959-03-15,,"Starbook, The Famished Road"
Bernard Cornwell,"Historical fiction, Historical non-fiction",1944-02-23,,"Sharpe (novel series), The Saxon Stories, The Warlord Chronicles"
Bernard Malamud,"Novel, Short story",1914-04-26,,"The Fixer (novel), The Natural"
Bernie West,Sitcom,1918-05-30,,"All in the Family, The Jeffersons, The Ropers, Three's A Crowd, Three's Company"
Bertha Harris,Lesbian fiction,1937-12-17,,Lover (novel)
Berthe Bénichou-Aboulker,"Drama, Poetry",1888-05-16,,"Berbers, Kahina"
Bertolt Brecht,"Epic theatre, Non-Aristotelian drama",1898-02-10,,"Life of Galileo, Mother Courage and Her Children, Mr Puntila and his Man Matti, The Caucasian Chalk Circle, The Good Person of Szechwan, The Resistible Rise of Arturo Ui, The Threepenny Opera"
Bessie Head,"Essay, Fiction, Novel",1937-07-06,South African people,When Rain Clouds Gather
Bessie Head,"Essay, Fiction, Novel",1937-07-06,Botswana,When Rain Clouds Gather
Betsy Byars,"Children's fiction, Historical fiction, Realistic fiction, Young adult fiction",1928-08-07,,Summer of the Swans
Bette Greene,"Children's fiction, Young adult fiction",1934-06-28,,Summer of My German Soldier
Betty Fussell,"Biographies, Cookbooks, Food History, Memoirs",1927-07-28,English,"Food & Wine (magazine), Gastronomica, Los Angeles Times, Metropolitan Home, Saveur, The New York Times, The New Yorker, Vogue (magazine)"
Betty MacDonald,"Autobiography, Children's literature",1907-03-26,,"Mrs. Piggle-Wiggle, The Egg and I"
Betty Ren Wright,"Children's fiction, Ghost story",1927-06-15,,"Christina's Ghost, The Dollhouse Murders"
Bharati Mukherjee,Short story,1940-07-27,Canadians,Jasmine (novel)
Bharati Mukherjee,Short story,1940-07-27,Americans,Jasmine (novel)
Bharati Mukherjee,Short story,1940-07-27,Indian people,Jasmine (novel)
Bhavesh Bhatt,Ghazal,1975-01-12,Indian people,"Bhitarno Shankhanaad, Chhe To Chhe"
Bhavesh Bhatt,Ghazal,1975-01-12,Indian people,"Bhitarno Shankhanaad, Chhe To Chhe"
Bienvenido Santos,"fiction, poetry",1911-03-22,,Scent of Apples
Bill Coffin,"Fantasy, Science fiction",1970-09-17,,"Heroes Unlimited, Palladium Fantasy Role-Playing Game, Rifts (role-playing game), Systems Failure"
Bill Konigsberg,"Young adult, LGBT",1970-11-11,,Openly Straight
Bimal Mitra,"Novelist, Stories",1912-03-18,India,Saheb Bibi Golam
Binod Bihari Verma,"Rural life, social justice, historical",1937-12-03,,Maithili Karna Kayasthak Panjik Sarvekshan
Blake Crouch,"Mystery fiction, Science fiction, Thriller (genre)",1978-10-15,,"Dark Matter (Crouch novel), The Wayward Pines Trilogy"
Blanche d'Alpuget,"Biography, Drama, Romance novel",1944-01-03,,"The Young Lion, Turtle Beach (film)"
Bob Proctor (author),Self-help,1934-07-05,,The Secret (2006 film)
Boban Knežević,Fantasy,1959-09-17,Serbia,Black Blossom
Boris Akunin,"Detective fiction, Historical fiction",1956-05-20,,Erast Fandorin
Brad Meltzer,"Non-fiction, Political thriller, Superhero fantasy",1970-04-01,,"Identity Crisis (DC Comics), Jack & Bobby"
Brad R. Torgersen,Science fiction,1974-04-06,,A Star-Wheeled Sky
Bram Stoker,"Gothic fiction, Romance novel",1847-11-08,,Dracula
Brandon Mull,"Fantasy, Young adult fiction",1974-11-08,United States,Fablehaven (book)
Brandon Sanderson,"Fantasy, Science fiction",1975-12-19,,"Mistborn series, Robert Jordan, Skyward (novel), The Reckoners, The Stormlight Archive"
Breandán Ó hEithir,"Fiction, autobiography, politics, geography",1930-01-18,Irish language,Lig Sinn i gCathú
Brendan Behan,Playwright,1923-02-09,,"Borstal Boy, The Hostage (play), The Quare Fellow"
Bret Easton Ellis,"Black comedy, Satire, Transgressive fiction",1964-03-07,,"American Psycho, Less than Zero (novel)"
Brian Aldiss,Science fiction,1925-08-18,,"Helliconia, Supertoys Last All Summer Long"
Brian Evenson,"Literary fiction, Popular fiction",1966-08-12,,"Father of Lies (novel), Last Days (Evenson novel)"
Brian Freemantle,Thriller (genre),1936-06-10,English people,Charlie M
Brian Herbert,Science fiction,1947-06-29,English,Dune (franchise)
Brian Jay Jones,biography,1967-08-01,,"Dr. Seuss, Jim Henson"
Brian K. Vaughan,"Fantasy, Space opera",1976-07-17,,"Ex Machina (comics), Lost (TV series), Paper Girls, Pride of Baghdad, Runaways (comics), Saga (comics), Under the Dome (TV series), Y: The Last Man"
Brian Keene,Horror fiction,1967-09-22,,"The Conqueror Worms, The Rising (Keene novel)"
Brian McClellan,Fantasy,1986-01-25,,The Powder Mage trilogy
Brian Selznick,"Children's literature, Historical novel",1966-07-14,,"The Invention of Hugo Cabret, Wonderstruck (book)"
Bruno Schulz,"Novel, short story",1892-07-12,,"Sanatorium Under the Sign of the Hourglass, The Street of Crocodiles"
Bryan Fuller,"Comedy, Drama, Fantasy, Horror and terror, Macabre, Science fiction",1969-07-27,,"American Gods (TV series), Dead Like Me, Hannibal (TV series), Pushing Daisies, Star Trek, Wonderfalls"
Buddhisagar,Fiction,1981-06-02,,"Karnali Blues, Phirphire (novel)"
Buddy Wakefield,Poetry,1974-06-04,,Run On Anything
C. J. Cherryh,"Fantasy, Science fiction",1942-09-01,,"Alliance–Union universe, Foreigner series"
C. S. Lewis,Christian apologetics,1898-11-29,,"Mere Christianity, Surprised by Joy: The Shape of My Early Life, The Abolition of Man, The Allegory of Love, The Chronicles of Narnia, The Screwtape Letters, The Space Trilogy, Till We Have Faces"
C. V. Balakrishnan,"Novel, novella, short story, essay, screenplay",1952-09-24,Malayalam,"Ayussinte Pusthakam, Kamamohitham"
Caitlin Rother,Non-fiction,1962-12-06,Canadians,Lost Girls (book)
Caitlín R. Kiernan,"Dark fantasy, Weird fiction",1964-05-26,,The Drowning Girl
Calder Willingham,"Fiction, screenwriting, short story",1922-12-23,English,The Graduate
Caleb Carr,"Historical thrillers, military and diplomatic history, terrorism",1955-08-02,,"Casing the Promised Land, Killing Time (Caleb Carr novel), The Alienist, The Angel of Darkness, The Italian Secretary"
Cao Yu,Drama,1910-09-24,Chinese language,Thunderstorm (play)
Carl Gottlieb,"Comedy film, Thriller (genre)",1938-03-18,,Jaws (film)
Carla Lane,Television,1928-08-05,,"Bless This House (British TV series), Bread (TV series), Butterflies (TV series), Luv (TV series), Solo (TV series), The Liver Birds, The Mistress (TV series)"
Carlo Goldoni,Comedy (drama),1707-02-25,,"Servant of Two Masters, The Mistress of the Inn"
Carmen Maria Machado,"Fantasy, Horror fiction, Science fiction",1986-07-03,English,"Her Body and Other Parties, In the Dream House"
Carol Plum-Ucci,Young Adult literature,1957-08-16,,The Body of Christopher Creed
Carol Ryrie Brink,Children's literature,1895-12-28,English,Caddie Woodlawn
Caroline Leakey,"Fiction, poetry",1827-03-08,,The Broad Arrow
Caroline Myss,Spirituality,1952-12-02,,Anatomy of the Spirit
Caroline Pafford Miller,Novel,1903-08-26,English,Lamb in His Bosom
Carolyn Treffinger,Children's literature,1891-10-24,United States,"Li Lun, Lad of Courage"
Carson McCullers,Southern Gothic,1917-02-19,,"The Ballad of the Sad Café, The Heart Is a Lonely Hunter, The Member of the Wedding"
Cary Tennis,Columnist,1953-09-11,,Salon (website)
Casey McQuiston,Romance novel,1991-01-21,English,"Red, White & Royal Blue"
Cassandra Clare,Young adult fiction,1973-07-27,Americans,The Mortal Instruments (series)
Castro Alves,"Poetry, theatre",1847-03-14,,Espumas Flutuantes
Cate Tiernan,Fantasy,1961-07-24,,Sweep (book series)
Catharine Sedgwick,Sentimental novel,1789-12-28,English,Hope Leslie
Catherine Asaro,"Fantasy, Science fiction",1955-11-06,,Saga of the Skolian Empire
Catherine Girard-Audet,Young adult literature,1981-04-05,,The Complicated Life of Lea Oliver
Cecelia Ahern,"Romance novel, Young adult fiction",1981-09-30,,"If You Could See Me Now (Cecelia Ahern novel), PS, I Love You (novel), Where Rainbows End"
Cecily von Ziegesar,"Romance novel, Short film",1970-06-27,,"Gossip Girl (novel series), The It Girl (book series)"
Chabua Amirejibi,Literary realism,1921-11-18,Georgians,Data Tutashkhia
Changampuzha Krishna Pillai,Romantic,1911-10-10,Malayalam,Ramanan
Charlaine Harris,"Mystery fiction, Southern Gothic",1951-11-25,,The Southern Vampire Mysteries
Charles Beaumont,"Horror fiction, Popular culture, Science fiction, Social commentary, Speculative fiction",1929-01-02,,The Twilight Zone
Charles Boardman Hawes,Fiction,1889-01-24,,Historical novel
Charles Grandmougin,Poetry,1850-01-17,,"Hulda (opera), La Vierge"
Charles Keeping,Children's literature,1924-09-22,,The God Beneath the Sea
Charles Perrault,Fairy tale,1628-01-12,,"Bluebeard, Cinderella, Little Red Riding Hood, Puss in Boots, Sleeping Beauty"
Charles Portis,Western (genre),1933-12-28,,"Norwood (novel), True Grit (novel)"
Charles R. Jackson,Prose,1903-04-06,,The Lost Weekend (novel)
Charles R. Saunders,"Fantasy, Sword and sorcery",1946-07-12,,Imaro
Charles Tazewell,Children's literature,1900-06-02,English,"The Littlest Angel, The Small One (book)"
Charles W. Henderson,Military,1948-08-26,,Carlos Hathcock
Charles Williams (British writer),Fantasy literature,1886-09-20,,"Descent into Hell (novel), The Place of the Lion"
Charles Yu,"novel, literary fiction, science fiction, experimental fiction, non-fiction",1976-01-03,,"How to Live Safely in a Science Fictional Universe, Interior Chinatown"
Charlotte Brontë,"Fiction, poetry",1816-04-21,,"Jane Eyre, Villette (novel)"
Charu Nivedita,"Autofiction, Metafiction, Postmodernism",1953-12-18,,Zero Degree
Cherie Priest,"Horror fiction, Science fiction, Southern Gothic, Steampunk",1975-07-30,,Boneshaker (novel)
Cherukad,"Autobiography, Essay, Novel, Play (theatre), Poetry, Short story",1914-08-26,Malayalam,Muthassi (novel)
Chester Himes,"Detective fiction, Hardboiled",1909-07-29,,Harlem Detective
Chetan Bhagat,"Romance, realistic fiction, non-fiction",1974-04-22,Hindi,"2 States: The Story of My Marriage, Five Point Someone, Half Girlfriend, One Indian Girl, The 3 Mistakes of My Life"
Chilakamarti Lakshmi Narasimham,"Playwright, novelist, poet",1867-09-26,,Gayopakhyanam
China Miéville,"Steampunk, Urban fantasy, Weird fiction",1972-09-06,,"Perdido Street Station, The City & the City"
Chinghiz Aitmatov,"novels, short stories",1928-12-12,,"Jamila (novel), The Day Lasts More Than a Hundred Years"
Chitra Banerjee Divakaruni,"Fantasy, Magical realism",1956-07-29,Indian-American,Mistress of Spices
Chloe Neill,"Romance novel, Urban Fantasy",1975-05-17,English,Chicagoland Vampires
Chris Bearde,Comedy,1936-06-18,British Empire,"Rowan & Martin's Laugh-In, The Gong Show"
