,subject,predicate,object
49,Abdul Rahman Munif,writesGenre,GenreNovel
50,Abdul Rahman Munif,writesGenre,GenreShort_Story
51,Abdul Rahman Munif,writesGenre,GenreCritic
52,Abdul Rahman Munif,writesGenre,GenreBiography
53,Abdul Rahman Munif,bornInCentury,Century_20
54,Abdussalam Puthige,wrote,BookAllama_Iqbal
55,Abdussalam Puthige,writesGenre,GenrePresent
56,Abdussalam Puthige,bornInCentury,Century_20
57,Abraham Verghese,wrote,BookCutting_For_Stone
58,Abraham Verghese,wrote,BookMy_Own_Country
59,Abraham Verghese,wrote,BookThe_Tennis_Partner
60,Abraham Verghese,writesGenre,GenreAutobiography
61,Abraham Verghese,writesGenre,GenreMedical_Handbook
62,Abraham Verghese,bornInCentury,Century_20
63,Ada Palmer,wrote,BookToo_Like_The_Lightning
64,Ada Palmer,writesGenre,GenreDystopian_Fiction
65,Ada Palmer,writesGenre,GenreHistorical_Fiction
66,Ada Palmer,writesGenre,GenreScience_Fiction
67,Ada Palmer,writesGenre,GenreSpeculative_Fiction
68,Ada Palmer,bornInCentury,Century_20
69,Adalbert Stifter,wrote,BookBergkristall
70,Adalbert Stifter,wrote,BookDer_Nachsommer
71,Adalbert Stifter,wrote,BookWitiko_Novel
72,Adalbert Stifter,writesGenre,GenrePoetic_Realism
73,Adalbert Stifter,bornInCentury,Century_19
74,Adam Mickiewicz,wrote,BookDziady_Poem
75,Adam Mickiewicz,wrote,BookPan_Tadeusz
76,Adam Mickiewicz,writesGenre,GenreRomanticism
77,Adam Mickiewicz,bornInCentury,Century_18
78,Adam Roberts (British writer),wrote,BookGradisil
79,Adam Roberts (British writer),wrote,BookSalt_Roberts_Novel
80,Adam Roberts (British writer),writesGenre,GenreScience_Fiction
81,Adam Roberts (British writer),writesGenre,GenreFantasy
82,Adam Roberts (British writer),writesGenre,GenreParody
83,Adam Roberts (British writer),bornInCentury,Century_20
84,Adam Silvera,wrote,BookHistory_Is_All_You_Left_Me
85,Adam Silvera,wrote,BookThey_Both_Die_At_The_End
86,Adam Silvera,wrote,BookWhat_If_Its_Us
87,Adam Silvera,writesGenre,GenreLgbt_Literature
88,Adam Silvera,writesGenre,GenreYoung_Adult_Fiction
89,Adam Silvera,bornInCentury,Century_20
90,Agatha Christie,wrote,BookAnd_Then_There_Were_None
91,Agatha Christie,wrote,BookDeath_On_The_Nile
92,Agatha Christie,wrote,BookMurder_On_The_Orient_Express
93,Agatha Christie,wrote,BookPartners_In_Crime_Short_Story_Collection
94,Agatha Christie,wrote,BookThe_Abc_Murders
95,Agatha Christie,wrote,BookThe_Mousetrap
96,Agatha Christie,wrote,BookThe_Murder_At_The_Vicarage
97,Agatha Christie,wrote,BookThe_Murder_Of_Roger_Ackroyd
98,Agatha Christie,writesGenre,GenreMurder_Mystery
99,Agatha Christie,writesGenre,GenreThriller_Genre
100,Agatha Christie,bornInCentury,Century_19
101,Aimée Sommerfelt,wrote,BookThe_Road_To_Agra
102,Aimée Sommerfelt,writesGenre,GenreChildrens_Books
103,Aimée Sommerfelt,writesGenre,GenreYoung_Adult_Fiction
104,Aimée Sommerfelt,bornInCentury,Century_19
105,Akwaeke Emezi,wrote,BookDear_Senthuran
106,Akwaeke Emezi,wrote,BookFreshwater_Novel
107,Akwaeke Emezi,wrote,BookPet_Novel
108,Akwaeke Emezi,wrote,BookThe_Death_Of_Vivek_Oji
109,Akwaeke Emezi,writesGenre,GenreFantasy
110,Akwaeke Emezi,writesGenre,GenreRomance_Novel
111,Akwaeke Emezi,bornInCentury,Century_20
112,Alan Dean Foster,wrote,BookHumanx_Commonwealth
113,Alan Dean Foster,wrote,BookSpellsinger
114,Alan Dean Foster,writesGenre,GenreFantasy
115,Alan Dean Foster,writesGenre,GenreScience_Fiction
116,Alan Dean Foster,bornInCentury,Century_20
117,Alan Duff,wrote,BookJakes_Long_Shadow
118,Alan Duff,wrote,BookOnce_Were_Warriors
119,Alan Duff,wrote,BookWhat_Becomes_Of_The_Broken_Hearted_Film
120,Alan Duff,wrote,BookWhat_Becomes_Of_The_Broken_Hearted_Novel
121,Alan Duff,writesGenre,GenreFiction
122,Alan Duff,bornInCentury,Century_20
123,Alan Garner,wrote,BookElidor
124,Alan Garner,wrote,BookThe_Moon_Of_Gomrath
125,Alan Garner,wrote,BookThe_Owl_Service
126,Alan Garner,wrote,BookThe_Stone_Book_Quartet
127,Alan Garner,wrote,BookThe_Weirdstone_Of_Brisingamen
128,Alan Garner,writesGenre,GenreChildrens_Literature
129,Alan Garner,writesGenre,GenreLow_Fantasy
130,Alan Garner,bornInCentury,Century_20
131,Alan Hollinghurst,wrote,BookThe_Folding_Star
132,Alan Hollinghurst,wrote,BookThe_Line_Of_Beauty
133,Alan Hollinghurst,wrote,BookThe_Sparsholt_Affair
134,Alan Hollinghurst,wrote,BookThe_Spell_Novel
135,Alan Hollinghurst,wrote,BookThe_Strangers_Child
136,Alan Hollinghurst,wrote,BookThe_Swimming_Pool_Library
137,Alan Hollinghurst,writesGenre,GenreNovel
138,Alan Hollinghurst,writesGenre,GenrePoem
139,Alan Hollinghurst,writesGenre,GenreShort_Story
140,Alan Hollinghurst,bornInCentury,Century_20
141,Alan Moore,wrote,BookBatman_The_Killing_Joke
142,Alan Moore,wrote,BookFor_The_Man_Who_Has_Everything
143,Alan Moore,wrote,BookFrom_Hell
144,Alan Moore,wrote,BookJerusalem_Moore_Novel
145,Alan Moore,wrote,BookLost_Girls_Graphic_Novel
146,Alan Moore,wrote,BookMarvelman
147,Alan Moore,wrote,BookPromethea
148,Alan Moore,wrote,BookSuperman_Whatever_Happened_To_The_Man_Of_Tomorrow
149,Alan Moore,wrote,BookSwamp_Thing_Comic_Book
150,Alan Moore,wrote,BookThe_Ballad_Of_Halo_Jones
151,Alan Moore,wrote,BookThe_League_Of_Extraordinary_Gentlemen
152,Alan Moore,wrote,BookV_For_Vendetta
153,Alan Moore,wrote,BookVoice_Of_The_Fire
154,Alan Moore,wrote,BookWatchmen
155,Alan Moore,writesGenre,GenreHorror_Fiction
156,Alan Moore,bornInCentury,Century_20
157,Alan Plater,wrote,BookA_Very_British_Coup_Miniseries
158,Alan Plater,wrote,BookOh_No_Its_Selwyn_Froggitt
159,Alan Plater,wrote,BookThe_Beiderbecke_Trilogy
160,Alan Plater,writesGenre,GenreTelevision
161,Alan Plater,bornInCentury,Century_20
162,Alan Simpson (scriptwriter),wrote,BookComedy_Playhouse
163,Alan Simpson (scriptwriter),wrote,BookHancocks_Half_Hour
164,Alan Simpson (scriptwriter),wrote,BookSteptoe_And_Son
165,Alan Simpson (scriptwriter),writesGenre,GenreTelevision
166,Alan Simpson (scriptwriter),bornInCentury,Century_20
167,Alan White (novelist),wrote,BookThe_Long_Days_Dying
168,Alan White (novelist),writesGenre,GenreMilitaria
169,Alan White (novelist),writesGenre,GenreWar_Novels
170,Alan White (novelist),bornInCentury,Century_20
171,Alasdair Gray,wrote,Book1982
172,Alasdair Gray,wrote,BookJanine
173,Alasdair Gray,wrote,BookLanark_A_Life_In_Four_Books
174,Alasdair Gray,wrote,BookPoor_Things
175,Alasdair Gray,wrote,BookThe_Book_Of_Prefaces
176,Alasdair Gray,writesGenre,GenreDystopian_Novel
177,Alasdair Gray,writesGenre,GenreRealism_Arts
178,Alasdair Gray,writesGenre,GenreScience_Fiction
179,Alasdair Gray,writesGenre,GenreSurrealism
180,Alasdair Gray,bornInCentury,Century_20
181,Alberto Manguel,wrote,BookReading_Process
182,Alberto Manguel,wrote,BookThe_Dictionary_Of_Imaginary_Places
183,Alberto Manguel,writesGenre,GenreNovel
184,Alberto Manguel,writesGenre,GenreEssay
185,Alberto Manguel,bornInCentury,Century_20
186,Aleksey Pisemsky,wrote,BookA_Bitter_Fate
187,Aleksey Pisemsky,writesGenre,GenreNovel
188,Aleksey Pisemsky,writesGenre,GenreShort_Story
189,Aleksey Pisemsky,bornInCentury,Century_19
190,Alethea Arnaquq-Baril,wrote,BookAngry_Inuk
191,Alethea Arnaquq-Baril,writesGenre,GenreDocumentary
192,Alethea Arnaquq-Baril,writesGenre,GenreFeature_Films
193,Alethea Arnaquq-Baril,writesGenre,GenreShort_Films
194,Alethea Arnaquq-Baril,bornInCentury,Century_20
195,Alex Miller (writer),wrote,BookJourney_To_The_Stone_Country
196,Alex Miller (writer),wrote,BookLovesong_Novel
197,Alex Miller (writer),wrote,BookThe_Ancestor_Game
198,Alex Miller (writer),writesGenre,GenreLiterary_Fiction
199,Alex Miller (writer),bornInCentury,Century_20
200,Alex Scarrow,wrote,BookTimeriders
201,Alex Scarrow,writesGenre,GenreAlternate_History
202,Alex Scarrow,writesGenre,GenreThriller_Genre
203,Alex Scarrow,bornInCentury,Century_20
204,Alexander Belyaev,wrote,BookAmphibian_Man
205,Alexander Belyaev,wrote,BookAriel_Novel
206,Alexander Belyaev,wrote,BookProfessor_Dowells_Head
207,Alexander Belyaev,wrote,BookThe_Air_Seller
208,Alexander Belyaev,writesGenre,GenreAdventure_Novel
209,Alexander Belyaev,writesGenre,GenreScience_Fiction
210,Alexander Belyaev,bornInCentury,Century_19
211,Alexander Cordell,wrote,BookRape_Of_The_Fair_Country
212,Alexander Cordell,writesGenre,GenreNovel
213,Alexander Cordell,bornInCentury,Century_20
214,Alexander Pushkin,wrote,BookBoris_Godunov_Play
215,Alexander Pushkin,wrote,BookEugene_Onegin
216,Alexander Pushkin,wrote,BookRuslan_And_Ludmila
217,Alexander Pushkin,wrote,BookThe_Captains_Daughter
218,Alexander Pushkin,writesGenre,GenreNovel
219,Alexander Pushkin,writesGenre,GenreNovel_In_Verse
220,Alexander Pushkin,writesGenre,GenrePoem
221,Alexander Pushkin,writesGenre,GenreDrama
222,Alexander Pushkin,writesGenre,GenreShort_Story
223,Alexander Pushkin,writesGenre,GenreFairytale
224,Alexander Pushkin,bornInCentury,Century_18
225,Alexander Victorovich Fedorov,wrote,BookMoscow
226,Alexander Victorovich Fedorov,writesGenre,GenreNonfiction
227,Alexander Victorovich Fedorov,bornInCentury,Century_20
228,Alexandra Day,wrote,BookGood_Dog
229,Alexandra Day,wrote,BookCarl
230,Alexandra Day,writesGenre,GenreChildrens_Picture_Books
231,Alexandra Day,bornInCentury,Century_20
232,Alexandre Herculano,wrote,BookEurico
233,Alexandre Herculano,wrote,BookO_Presbtero
234,Alexandre Herculano,writesGenre,GenreRomantic_Poetry
235,Alexandre Herculano,bornInCentury,Century_19
236,Alexis Wright,wrote,BookCarpentaria_Novel
237,Alexis Wright,writesGenre,GenreFiction
238,Alexis Wright,writesGenre,GenreNonfiction
239,Alexis Wright,bornInCentury,Century_20
240,Alfred Döblin,wrote,BookBerge_Meere_Und_Giganten
241,Alfred Döblin,wrote,BookBerlin_Alexanderplatz
242,Alfred Döblin,wrote,BookNovember_1918_A_German_Revolution
243,Alfred Döblin,wrote,BookTales_Of_A_Long_Night
244,Alfred Döblin,wrote,BookThe_Three_Leaps_Of_Wang_Lun
245,Alfred Döblin,wrote,BookWallenstein_Novel
246,Alfred Döblin,writesGenre,GenreEssay
247,Alfred Döblin,bornInCentury,Century_19
248,Algernon Blackwood,wrote,BookThe_Wendigo_Novella
249,Algernon Blackwood,wrote,BookThe_Willows_Story
250,Algernon Blackwood,writesGenre,GenreFantasy
251,Algernon Blackwood,writesGenre,GenreHorror_Fiction
252,Algernon Blackwood,writesGenre,GenreWeird_Fiction
253,Algernon Blackwood,bornInCentury,Century_19
254,Algis Budrys,wrote,BookRogue_Moon
255,Algis Budrys,wrote,BookThe_Falling_Torch
256,Algis Budrys,wrote,BookWho_Novel
257,Algis Budrys,writesGenre,GenreScience_Fiction
258,Algis Budrys,bornInCentury,Century_20
259,Ali Almossawi,wrote,BookAn_Illustrated_Book_Of_Bad_Arguments
260,Ali Almossawi,writesGenre,GenreEducational
261,Ali Almossawi,writesGenre,GenreHumor
262,Ali Almossawi,bornInCentury,Century_20
263,Ali Liebegott,wrote,BookThe_Ihop_Papers
264,Ali Liebegott,writesGenre,GenrePoetry
265,Ali Liebegott,writesGenre,GenreFiction
266,Ali Liebegott,bornInCentury,Century_20
267,Alice Alison Lide,wrote,BookOodleuk_The_Wanderer
268,Alice Alison Lide,writesGenre,GenreChildrens_Literature
269,Alice Alison Lide,bornInCentury,Century_19
270,Alice Sebold,wrote,BookLucky_Memoir
271,Alice Sebold,wrote,BookThe_Almost_Moon
272,Alice Sebold,wrote,BookThe_Lovely_Bones
273,Alice Sebold,writesGenre,GenreMemoir
274,Alice Sebold,bornInCentury,Century_20
275,Alice Walker,wrote,BookThe_Color_Purple
276,Alice Walker,writesGenre,GenreAfricanamerican_Literature
277,Alice Walker,bornInCentury,Century_20
278,Aliette de Bodard,wrote,BookThe_House_Of_Shattered_Wings
279,Aliette de Bodard,wrote,BookThe_Tea_Master_And_The_Detective
280,Aliette de Bodard,writesGenre,GenreFantasy
281,Aliette de Bodard,writesGenre,GenreScience_Fiction
282,Aliette de Bodard,bornInCentury,Century_20
283,Aliki Brandenberg,wrote,BookFeelings_Aliki_Book
284,Aliki Brandenberg,writesGenre,GenreChildrens_Literature
285,Aliki Brandenberg,bornInCentury,Century_20
286,Alison Bechdel,wrote,BookAre_You_My_Mother_Memoir
287,Alison Bechdel,wrote,BookDykes_To_Watch_Out_For
288,Alison Bechdel,wrote,BookFun_Home
289,Alison Bechdel,writesGenre,GenreAutobiography
290,Alison Bechdel,writesGenre,GenreSocial_Commentary
291,Alison Bechdel,bornInCentury,Century_20
292,Alison McGhee,wrote,BookShadow_Baby
293,Alison McGhee,writesGenre,GenreFiction
294,Alison McGhee,writesGenre,GenreYoung_Adult
295,Alison McGhee,writesGenre,GenreChildrens_Picture_Books
296,Alison McGhee,bornInCentury,Century_20
297,Alison Prince,wrote,BookTrumpton
298,Alison Prince,writesGenre,GenreChildrens_Literature
299,Alison Prince,bornInCentury,Century_20
300,Allan Frewin Jones,wrote,BookTalisman_Book_Series
301,Allan Frewin Jones,wrote,BookThe_Faerie_Path
302,Allan Frewin Jones,writesGenre,GenreChildrens_Books
303,Allan Frewin Jones,writesGenre,GenreYoung_Adult_Fiction
304,Allan Frewin Jones,bornInCentury,Century_20
305,Allen Carr,wrote,BookThe_Easy_Way_To_Stop_Smoking
306,Allen Carr,writesGenre,GenreSelfhelp_Book
307,Allen Carr,bornInCentury,Century_20
308,Allen Steele,wrote,BookCoyote_Novel
309,Allen Steele,writesGenre,GenreScience_Fiction
310,Allen Steele,bornInCentury,Century_20
311,Allen Tate,wrote,BookOde_To_The_Confederate_Dead
312,Allen Tate,writesGenre,GenrePoetry_Magazine
313,Allen Tate,bornInCentury,Century_19
314,Ally Condie,wrote,BookMatched_Trilogy
315,Ally Condie,writesGenre,GenreChildrens_Literature
316,Ally Condie,writesGenre,GenreUtopian_And_Dystopian_Fiction
317,Ally Condie,writesGenre,GenreYoung_Adult_Fiction
318,Ally Condie,bornInCentury,Century_20
319,Alma Alexander,wrote,BookThe_Secrets_Of_Jinshei
320,Alma Alexander,writesGenre,GenreFantasy
321,Alma Alexander,bornInCentury,Century_20
322,Alois Jirásek,wrote,BookAncient_Bohemian_Legends
323,Alois Jirásek,wrote,BookBratrstvo
324,Alois Jirásek,wrote,BookF_L_Vk
325,Alois Jirásek,writesGenre,GenreLiterary_Realism
326,Alois Jirásek,bornInCentury,Century_19
327,Alyson Noël,wrote,BookRiley_Bloom_Series
328,Alyson Noël,wrote,BookThe_Immortals_Novel_Series
329,Alyson Noël,writesGenre,GenreChick_Lit
330,Alyson Noël,writesGenre,GenreParanormal_Romance
331,Alyson Noël,writesGenre,GenreYoung_Adult_Fiction
332,Alyson Noël,bornInCentury,Century_20
333,Ama Ata Aidoo,wrote,BookAnowa
334,Ama Ata Aidoo,wrote,BookOur_Sister_Killjoy
335,Ama Ata Aidoo,writesGenre,GenreDrama
336,Ama Ata Aidoo,writesGenre,GenreFiction
337,Ama Ata Aidoo,writesGenre,GenrePoetry
338,Ama Ata Aidoo,bornInCentury,Century_20
339,Amanda Hocking,wrote,BookTrylle_Trilogy
340,Amanda Hocking,writesGenre,GenreParanormal_Romance
341,Amanda Hocking,writesGenre,GenreYoung_Adult_Fiction
342,Amanda Hocking,bornInCentury,Century_20
343,Amanda Montell,wrote,BookCultish_The_Language_Of_Fanaticism
344,Amanda Montell,writesGenre,GenreFeminist
345,Amanda Montell,writesGenre,GenreLinguistics
346,Amanda Montell,writesGenre,GenreNonfiction
347,Amanda Montell,writesGenre,GenreSocial_Science
348,Amanda Montell,bornInCentury,Century_20
349,Amir Hamzah,wrote,BookBuah_Rindu
350,Amir Hamzah,wrote,BookNyanyi_Sunyi
351,Amir Hamzah,writesGenre,GenrePoetry
352,Amir Hamzah,bornInCentury,Century_20
353,Amitav Ghosh,wrote,BookIbis_Trilogy
354,Amitav Ghosh,wrote,BookThe_Glass_Palace
355,Amitav Ghosh,wrote,BookThe_Great_Derangement_Climate_Change_And_The_Unthinkable
356,Amitav Ghosh,wrote,BookThe_Shadow_Lines
357,Amitav Ghosh,writesGenre,GenreHistorical_Fiction
358,Amitav Ghosh,bornInCentury,Century_20
359,Amos Bar,wrote,BookSociety_For_The_Protection_Of_Nature_In_Israel
360,Amos Bar,writesGenre,GenreHistorical_Romance
361,Amos Bar,writesGenre,GenreYoung_Adult_Fiction
362,Amos Bar,bornInCentury,Century_20
363,Amrita Pritam,wrote,BookAjj_Aakhaan_Waris_Shah_Nu
364,Amrita Pritam,wrote,BookPinjar_Novel
365,Amrita Pritam,writesGenre,GenreProse
366,Amrita Pritam,bornInCentury,Century_20
367,Anders August,wrote,BookApplaus
368,Anders August,wrote,BookDirch
369,Anders August,wrote,BookSuperclsico
370,Anders August,writesGenre,GenreFilm
371,Anders August,bornInCentury,Century_20
372,Andreas Eschbach,wrote,BookEine_Billion_Dollar
373,Andreas Eschbach,wrote,BookJesus_Video
374,Andreas Eschbach,writesGenre,GenreThriller_Genre
375,Andreas Eschbach,bornInCentury,Century_20
376,Andrei Gusev,wrote,BookOn_The_Edge_Of_Magellanic_Clouds
377,Andrei Gusev,wrote,BookThe_World_According_To_Novikoff
378,Andrei Gusev,wrote,BookWith_Chronos_Permit
379,Andrei Gusev,writesGenre,GenreErotica
380,Andrei Gusev,writesGenre,GenreFantasy
381,Andrei Gusev,writesGenre,GenreThriller_Genre
382,Andrei Gusev,bornInCentury,Century_20
383,Andrew Davies (writer),wrote,BookA_Very_Peculiar_Practice
384,Andrew Davies (writer),wrote,BookBleak_House_2005_Tv_Serial
385,Andrew Davies (writer),wrote,BookHouse_Of_Cards_Uk_Tv_Series
386,Andrew Davies (writer),wrote,BookLittle_Dorrit_Tv_Series
387,Andrew Davies (writer),wrote,BookMiddlemarch_1994_Tv_Serial
388,Andrew Davies (writer),wrote,BookPride_And_Prejudice_1995_Tv_Series
389,Andrew Davies (writer),wrote,BookSanditon_Tv_Series
390,Andrew Davies (writer),wrote,BookVanity_Fair_1998_Tv_Serial
391,Andrew Davies (writer),wrote,BookWar__Peace_2016_Tv_Series
392,Andrew Davies (writer),writesGenre,GenreNovels
393,Andrew Davies (writer),writesGenre,GenreScreenplays
394,Andrew Davies (writer),bornInCentury,Century_20
395,Andrew Marshall (screenwriter),wrote,Book2Point4_Children
396,Andrew Marshall (screenwriter),wrote,BookDad_Tv_Series
397,Andrew Marshall (screenwriter),wrote,BookHot_Metal
398,Andrew Marshall (screenwriter),writesGenre,GenreTelevision
399,Andrew Marshall (screenwriter),bornInCentury,Century_20
400,Andrew Martin (novelist),wrote,BookJim_Stringer
401,Andrew Martin (novelist),wrote,BookSteam_Detective_Novels
402,Andrew Martin (novelist),writesGenre,GenreCrime_Fiction
403,Andrew Martin (novelist),bornInCentury,Century_20
404,Andrey Shary,wrote,BookJames_Bond
405,Andrey Shary,writesGenre,GenreNonfiction
406,Andrey Shary,bornInCentury,Century_20
407,Andrzej Sapkowski,wrote,BookHussite_Trilogy
408,Andrzej Sapkowski,wrote,BookThe_Witcher
409,Andrzej Sapkowski,writesGenre,GenreFantasy
410,Andrzej Sapkowski,writesGenre,GenreHistory
411,Andrzej Sapkowski,bornInCentury,Century_20
412,André Alexis,wrote,BookFifteen_Dogs
413,André Alexis,writesGenre,GenreNovelist
414,André Alexis,writesGenre,GenreLibrettist
415,André Alexis,bornInCentury,Century_20
416,André Breton,wrote,BookSurrealist_Manifesto
417,André Breton,writesGenre,GenreHistories
418,André Breton,writesGenre,GenrePoetry
419,André Breton,writesGenre,GenreEssays
420,André Breton,bornInCentury,Century_19
421,André Vianco,wrote,BookOs_Sete
422,André Vianco,wrote,BookStimo
423,André Vianco,writesGenre,GenreApocalyptic_And_Postapocalyptic_Fiction
424,André Vianco,writesGenre,GenreChildrens_Literature
425,André Vianco,writesGenre,GenreGhost_Story
426,André Vianco,writesGenre,GenreHorror_Fiction
427,André Vianco,writesGenre,GenreScience_Fiction
428,André Vianco,writesGenre,GenreSupernatural_Fiction
429,André Vianco,writesGenre,GenreThriller_Genre
430,André Vianco,writesGenre,GenreUrban_Fantasy
431,André Vianco,writesGenre,GenreVampire_Literature
432,André Vianco,bornInCentury,Century_20
433,Andy Breckman,wrote,BookArthur_2_On_The_Rocks
434,Andy Breckman,wrote,BookIq_Film
435,Andy Breckman,wrote,BookMonk_Tv_Series
436,Andy Breckman,wrote,BookRat_Race_Film
437,Andy Breckman,wrote,BookSeven_Second_Delay
438,Andy Breckman,wrote,BookSgt_Bilko
439,Andy Breckman,wrote,BookThe_Good_Cop_American_Tv_Series
440,Andy Breckman,wrote,BookTrue_Identity
441,Andy Breckman,writesGenre,GenreComedy
442,Andy Breckman,writesGenre,GenreDetective_Fiction
443,Andy Breckman,bornInCentury,Century_20
444,Andy Lane,wrote,BookYoung_Sherlock_Holmes_Books
445,Andy Lane,writesGenre,GenreDetective_Fiction
446,Andy Lane,writesGenre,GenreScience_Fiction
447,Andy Lane,writesGenre,GenreYoung_Adult_Fiction
448,Andy Lane,bornInCentury,Century_20
449,Andy Mangels,wrote,BookGay_Comix
450,Andy Mangels,writesGenre,GenreScience_Fiction
451,Andy Mangels,bornInCentury,Century_20
452,Andy Weir,wrote,BookProject_Hail_Mary
453,Andy Weir,wrote,BookThe_Egg_2009_Short_Story
454,Andy Weir,wrote,BookThe_Martian_Weir_Novel
455,Andy Weir,writesGenre,GenreFantasy
456,Andy Weir,writesGenre,GenreScience_Fiction
457,Andy Weir,bornInCentury,Century_20
458,Angela Sommer-Bodenburg,wrote,BookDer_Kleine_Vampir
459,Angela Sommer-Bodenburg,writesGenre,GenreFantasy
460,Angela Sommer-Bodenburg,bornInCentury,Century_20
461,Angelo F. Coniglio,wrote,BookThe_Lady_Of_The_Wheel
462,Angelo F. Coniglio,writesGenre,GenreAmerican_Football_League
463,Angelo F. Coniglio,bornInCentury,Century_20
464,Angie Sage,wrote,BookSeptimus_Heap
465,Angie Sage,writesGenre,GenreFantasy
466,Angie Sage,bornInCentury,Century_20
467,Angie Thomas,wrote,BookOn_The_Come_Up
468,Angie Thomas,wrote,BookThe_Hate_U_Give
469,Angie Thomas,writesGenre,GenreMiddle_Grade
470,Angie Thomas,writesGenre,GenreYoung_Adult_Fiction
471,Angie Thomas,bornInCentury,Century_20
472,Angus Watson,wrote,BookAge_Of_Iron
473,Angus Watson,writesGenre,GenreFantasy
474,Angus Watson,bornInCentury,Century_20
475,Ann Bannon,wrote,BookBeebo_Brinker_Novel
476,Ann Bannon,wrote,BookI_Am_A_Woman
477,Ann Bannon,wrote,BookJourney_To_A_Woman
478,Ann Bannon,wrote,BookOdd_Girl_Out_Novel
479,Ann Bannon,wrote,BookWomen_In_The_Shadows
480,Ann Bannon,writesGenre,GenreLgbt_History
481,Ann Bannon,writesGenre,GenreLesbian_Pulp_Fiction
482,Ann Bannon,bornInCentury,Century_20
483,Ann C. Crispin,wrote,BookSarek_Novel
484,Ann C. Crispin,wrote,BookThe_Han_Solo_Trilogy
485,Ann C. Crispin,wrote,BookYesterdays_Son
486,Ann C. Crispin,writesGenre,GenreNovelization
487,Ann C. Crispin,writesGenre,GenreScience_Fiction
488,Ann C. Crispin,bornInCentury,Century_20
489,Ann Eliza Smith,wrote,BookAtla__A_Story_Of_The_Lost_Island
490,Ann Eliza Smith,writesGenre,GenreNovels
491,Ann Eliza Smith,bornInCentury,Century_19
492,Ann Leckie,wrote,BookAncillary_Justice
493,Ann Leckie,writesGenre,GenreFantasy
494,Ann Leckie,writesGenre,GenreScience_Fiction
495,Ann Leckie,bornInCentury,Century_20
496,Ann M. Martin,wrote,BookThe_Babysitters_Club
497,Ann M. Martin,writesGenre,GenreChildrens_Literature
498,Ann M. Martin,writesGenre,GenreYoung_Adult_Fiction
499,Ann M. Martin,bornInCentury,Century_20
500,Ann Marie Di Mambro,wrote,BookMachair_Tv_Series
501,Ann Marie Di Mambro,writesGenre,GenreTelevision_Drama
502,Ann Marie Di Mambro,writesGenre,GenreTheatre
503,Ann Marie Di Mambro,bornInCentury,Century_20
504,Ann Oakley,wrote,BookThe_Mens_Room
505,Ann Oakley,writesGenre,GenreFeminism
506,Ann Oakley,bornInCentury,Century_20
